,KABKOT,month,year,time,longitude,latitude,tb,pm2p5,pm10,so2
99,JAKARTA TIMUR,4,2019,2019-04-01,106.90999999999995,-6.2600000000000025,1078,58.46117941151431,82.48122497415574,111.80699101123972
100,JAKARTA TIMUR,5,2019,2019-05-01,106.90999999999995,-6.2600000000000025,966,63.861789278974925,90.7767223428868,125.51687800127816
101,JAKARTA TIMUR,6,2019,2019-06-01,106.90999999999995,-6.2600000000000025,770,66.30801761057742,94.27397503003668,124.31789652661784
102,JAKARTA TIMUR,7,2019,2019-07-01,106.90999999999995,-6.2600000000000025,1143,55.95911750333577,79.69876418675085,112.43431709969109
103,JAKARTA TIMUR,8,2019,2019-08-01,106.90999999999995,-6.2600000000000025,1071,55.29040599938728,78.1093611224779,97.25134972407534
104,JAKARTA TIMUR,9,2019,2019-09-01,106.90999999999995,-6.2600000000000025,1121,54.71760523042254,77.58432709910907,94.57580040905556
105,JAKARTA TIMUR,10,2019,2019-10-01,106.90999999999995,-6.2600000000000025,1138,60.07196956048311,84.45128764241488,92.54343957752847
106,JAKARTA TIMUR,11,2019,2019-11-01,106.90999999999995,-6.2600000000000025,970,54.85180279111555,77.4329384813185,89.81632416933786
107,JAKARTA TIMUR,12,2019,2019-12-01,106.90999999999995,-6.2600000000000025,918,52.11904008225128,73.9836247613354,88.06024229896896
156,JAKARTA TIMUR,1,2020,2020-01-01,106.90999999999995,-6.2600000000000025,1148,41.579220385538505,59.49346031997048,80.18682892968192
157,JAKARTA TIMUR,2,2020,2020-02-01,106.90999999999995,-6.2600000000000025,961,40.46950348997808,58.13986718550298,72.80666437509461
158,JAKARTA TIMUR,3,2020,2020-03-01,106.90999999999995,-6.2600000000000025,1021,49.372238720479984,70.30439611573559,96.86559501107804
159,JAKARTA TIMUR,4,2020,2020-04-01,106.90999999999995,-6.2600000000000025,623,53.6181433640578,76.25089885957989,112.63181257147129
160,JAKARTA TIMUR,5,2020,2020-05-01,106.90999999999995,-6.2600000000000025,505,58.010812755546056,82.51428927034601,125.71966407197496
161,JAKARTA TIMUR,6,2020,2020-06-01,106.90999999999995,-6.2600000000000025,638,61.02731507221988,86.9482508131621,121.7551821173663
162,JAKARTA TIMUR,7,2020,2020-07-01,106.90999999999995,-6.2600000000000025,676,61.92024187849306,88.31299803091676,127.2788448428158
163,JAKARTA TIMUR,8,2020,2020-08-01,106.90999999999995,-6.2600000000000025,559,58.31424852923929,83.02734177097852,111.15915538222325
164,JAKARTA TIMUR,9,2020,2020-09-01,106.90999999999995,-6.2600000000000025,561,55.02037371515058,78.17143776467496,105.05230805536374
165,JAKARTA TIMUR,10,2020,2020-10-01,106.90999999999995,-6.2600000000000025,525,57.64825044322519,81.58668887148329,102.71222844233404
166,JAKARTA TIMUR,11,2020,2020-11-01,106.90999999999995,-6.2600000000000025,548,51.17854631286934,72.64155771509988,97.4062949321342
167,JAKARTA TIMUR,12,2020,2020-12-01,106.90999999999995,-6.2600000000000025,398,32.664590521905744,46.86307910706167,72.39164158073413
216,JAKARTA TIMUR,1,2021,2021-01-01,106.90999999999995,-6.2600000000000025,599,41.41610012572031,59.46835839173061,80.43972177413704
217,JAKARTA TIMUR,2,2021,2021-02-01,106.90999999999995,-6.2600000000000025,579,39.0809438558885,56.16684523583143,67.42971275845942
218,JAKARTA TIMUR,3,2021,2021-03-01,106.90999999999995,-6.2600000000000025,841,49.29019937331218,70.08318416268352,103.05720090820935
219,JAKARTA TIMUR,4,2021,2021-04-01,106.90999999999995,-6.2600000000000025,914,62.54251431177752,88.62798878794878,121.4923381559785
220,JAKARTA TIMUR,5,2021,2021-05-01,106.90999999999995,-6.2600000000000025,830,66.18750581329508,94.10833574700597,129.4982133479795
221,JAKARTA TIMUR,6,2021,2021-06-01,106.90999999999995,-6.2600000000000025,837,61.391554564713104,87.18464412993526,119.53546306595554
222,JAKARTA TIMUR,7,2021,2021-07-01,106.90999999999995,-6.2600000000000025,440,63.950001215101295,90.98244610091618,129.1367797059832
223,JAKARTA TIMUR,8,2021,2021-08-01,106.90999999999995,-6.2600000000000025,829,63.66687716408287,90.28682324678266,112.37849355161988
224,JAKARTA TIMUR,9,2021,2021-09-01,106.90999999999995,-6.2600000000000025,1010,57.63515105587292,81.63266201203746,104.78629222768632
225,JAKARTA TIMUR,10,2021,2021-10-01,106.90999999999995,-6.2600000000000025,977,60.95969722689667,86.30249483743245,104.03913269126473
226,JAKARTA TIMUR,11,2021,2021-11-01,106.90999999999995,-6.2600000000000025,1015,43.724863690641584,62.4078657374125,89.51950661777214
227,JAKARTA TIMUR,12,2021,2021-12-01,106.90999999999995,-6.2600000000000025,930,45.59658106861855,64.91597275726208,90.36775622216044
276,JAKARTA TIMUR,1,2022,2022-01-01,106.90999999999995,-6.2600000000000025,1200,43.82183341059902,62.09968539157717,83.72533301895939
277,JAKARTA TIMUR,2,2022,2022-02-01,106.90999999999995,-6.2600000000000025,777,46.18216409231948,65.33800768930095,78.67659979865574
278,JAKARTA TIMUR,3,2022,2022-03-01,106.90999999999995,-6.2600000000000025,1213,52.09488719415374,73.29082359438114,101.4496895138534
279,JAKARTA TIMUR,4,2022,2022-04-01,106.90999999999995,-6.2600000000000025,1047,55.77670949108453,78.90947592414956,114.34120228168996
280,JAKARTA TIMUR,5,2022,2022-05-01,106.90999999999995,-6.2600000000000025,1183,60.88488668846573,86.53994191358154,129.05955759656436
281,JAKARTA TIMUR,6,2022,2022-06-01,106.90999999999995,-6.2600000000000025,1315,65.50830676133123,93.14875928367994,125.71967894380003
282,JAKARTA TIMUR,7,2022,2022-07-01,106.90999999999995,-6.2600000000000025,1206,64.63948539211256,92.03236683438055,127.8483695245121
